chargeback_id,transaction_id,chargeback_date,reason,chargeback_amount
CB000001,T0119738,2023-04-30,Duplicate Transaction,420.18
CB000002,T0072273,2024-01-08,Duplicate Transaction,259.1
CB000003,T0158155,2024-02-25,Customer Dispute,489.72
CB000004,T0065427,2023-04-13,Customer Dispute,147.7
CB000005,T0030075,2023-07-01,Duplicate Transaction,181.35
CB000006,T0023678,2024-07-07,Customer Dispute,492.66
CB000007,T0134859,2023-08-16,Fraud,313.89
CB000008,T0176419,2023-11-17,Customer Dispute,486.36
CB000009,T0132468,2023-08-04,Fraud,195.27
CB000010,T0004083,2023-07-03,Customer Dispute,422.9
CB000011,T0074457,2023-02-02,Duplicate Transaction,434.55
CB000012,T0142134,2023-01-16,Fraud,267.69
CB000013,T0186434,2023-01-13,Fraud,218.23
CB000014,T0084661,2023-04-13,Fraud,313.88
CB000015,T0117168,2024-06-24,Fraud,404.42
CB000016,T0110853,2023-07-18,Customer Dispute,36.06
CB000017,T0105001,2023-07-23,Customer Dispute,393.27
CB000018,T0181464,2024-02-26,Duplicate Transaction,266.34
CB000019,T0009448,2023-10-01,Fraud,201.65
CB000020,T0178532,2023-12-27,Fraud,170.02
CB000021,T0168259,2023-09-14,Duplicate Transaction,119.49
CB000022,T0030069,2023-10-25,Fraud,334.25
CB000023,T0028456,2024-02-16,Customer Dispute,389.79
CB000024,T0156519,2023-11-22,Customer Dispute,44.78
CB000025,T0007817,2023-04-26,Duplicate Transaction,444.76
CB000026,T0005255,2024-04-28,Fraud,133.09
CB000027,T0009849,2024-01-15,Customer Dispute,473.09
CB000028,T0130691,2023-05-10,Duplicate Transaction,152.15
CB000029,T0191767,2023-04-05,Fraud,388.33
CB000030,T0048711,2023-07-20,Duplicate Transaction,279.89
CB000031,T0132177,2023-10-10,Fraud,451.85
CB000032,T0006604,2023-04-04,Customer Dispute,109.16
CB000033,T0022726,2023-11-29,Customer Dispute,399.45
CB000034,T0000810,2024-06-26,Duplicate Transaction,478.84
CB000035,T0113504,2023-12-09,Fraud,376.07
CB000036,T0090859,2023-01-31,Fraud,371.49
CB000037,T0037748,2023-11-19,Customer Dispute,260.04
CB000038,T0129626,2024-04-04,Fraud,348.86
CB000039,T0019645,2023-08-24,Duplicate Transaction,265.24
CB000040,T0060152,2023-04-22,Duplicate Transaction,324.08
CB000041,T0064048,2023-01-27,Customer Dispute,165.35
CB000042,T0160889,2023-07-28,Customer Dispute,58.49
CB000043,T0054784,2023-08-17,Fraud,450.36
CB000044,T0129465,2024-06-03,Fraud,175.5
CB000045,T0142388,2023-05-10,Fraud,39.73
