user_id,signup_date,country,device_type,is_kyc_verified,account_type
U00001,2022-04-13,Germany,Mobile,Yes,Business
U00002,2023-03-12,USA,Mobile,Yes,Business
U00003,2024-05-10,Australia,Mobile,Yes,Personal
U00004,2022-09-28,Australia,Desktop,Yes,Personal
U00005,2022-04-17,UK,Mobile,Yes,Personal
U00006,2022-03-13,Canada,Mobile,Yes,Personal
U00007,2023-12-02,Germany,Desktop,Yes,Personal
U00008,2022-01-21,Germany,Mobile,No,Personal
U00009,2023-09-07,India,Mobile,Yes,Personal
U00010,2022-05-02,Germany,Desktop,Yes,Personal
U00011,2023-04-12,India,Desktop,Yes,Personal
U00012,2022-08-03,India,Mobile,Yes,Personal
U00013,2022-11-27,UK,Mobile,No,Personal
U00014,2023-04-04,USA,Desktop,Yes,Business
U00015,2022-03-29,India,Mobile,Yes,Personal
U00016,2023-01-08,India,Desktop,No,Personal
U00017,2022-04-10,Australia,Desktop,No,Personal
U00018,2024-05-21,UK,Mobile,Yes,Personal
U00019,2023-10-26,India,Desktop,Yes,Personal
U00020,2022-05-11,Canada,Mobile,Yes,Personal
U00021,2023-10-24,USA,Desktop,Yes,Personal
U00022,2022-11-05,Canada,Desktop,Yes,Personal
U00023,2024-02-09,Germany,Mobile,Yes,Personal
U00024,2022-12-10,USA,Mobile,Yes,Personal
U00025,2023-05-07,Germany,Mobile,Yes,Personal
U00026,2023-02-18,Australia,Mobile,Yes,Personal
U00027,2024-03-16,India,Mobile,No,Personal
U00028,2023-01-21,UK,Desktop,No,Business
U00029,2022-07-11,Canada,Mobile,Yes,Personal
U00030,2022-10-04,Germany,Mobile,Yes,Personal
U00031,2022-06-10,India,Desktop,No,Personal
U00032,2023-04-05,Canada,Mobile,Yes,Personal
U00033,2022-11-10,Canada,Desktop,Yes,Personal
U00034,2022-01-22,Australia,Mobile,Yes,Personal
U00035,2022-09-10,Australia,Mobile,Yes,Personal
U00036,2024-01-18,Germany,Mobile,Yes,Personal
U00037,2024-05-06,India,Desktop,Yes,Personal
U00038,2023-07-15,UK,Mobile,No,Personal
U00039,2023-04-20,Germany,Mobile,No,Personal
U00040,2022-02-28,Canada,Mobile,Yes,Personal
U00041,2023-05-26,Canada,Desktop,Yes,Personal
U00042,2023-11-13,USA,Mobile,Yes,Business
U00043,2023-04-21,India,Desktop,Yes,Personal
U00044,2023-12-01,USA,Desktop,Yes,Personal
U00045,2024-02-22,Australia,Mobile,No,Personal
U00046,2022-07-09,UK,Mobile,No,Personal
U00047,2023-11-18,Germany,Mobile,Yes,Business
U00048,2023-07-17,Canada,Mobile,No,Personal
U00049,2024-05-25,India,Mobile,Yes,Personal
U00050,2023-07-21,Canada,Mobile,No,Personal
U00051,2022-09-01,Australia,Mobile,No,Personal
U00052,2024-04-11,USA,Mobile,No,Personal
U00053,2023-05-20,USA,Mobile,Yes,Personal
U00054,2022-05-11,Germany,Mobile,No,Personal
U00055,2023-04-30,India,Desktop,Yes,Personal
U00056,2024-03-29,Australia,Mobile,Yes,Personal
U00057,2023-10-09,India,Mobile,Yes,Personal
U00058,2022-01-21,Germany,Mobile,Yes,Personal
U00059,2024-04-20,Australia,Mobile,Yes,Personal
U00060,2022-06-16,Australia,Mobile,Yes,Personal
U00061,2022-10-01,USA,Mobile,No,Personal
U00062,2023-01-23,USA,Mobile,No,Business
U00063,2023-08-24,USA,Desktop,Yes,Personal
U00064,2022-11-12,Canada,Desktop,No,Personal
U00065,2022-01-14,UK,Mobile,No,Personal
U00066,2022-08-30,USA,Desktop,Yes,Personal
U00067,2024-02-16,UK,Mobile,Yes,Personal
U00068,2022-12-12,UK,Mobile,Yes,Business
U00069,2023-07-19,India,Mobile,Yes,Personal
U00070,2024-06-16,Germany,Mobile,Yes,Personal
U00071,2022-12-06,Canada,Mobile,Yes,Personal
U00072,2022-04-02,UK,Desktop,No,Personal
U00073,2023-01-02,Canada,Mobile,Yes,Business
U00074,2023-03-31,India,Mobile,Yes,Business
U00075,2023-03-04,USA,Mobile,Yes,Personal
U00076,2023-05-24,Australia,Mobile,Yes,Personal
U00077,2024-02-15,UK,Mobile,Yes,Personal
U00078,2022-02-04,Germany,Mobile,Yes,Personal
U00079,2022-07-25,Australia,Mobile,No,Business
U00080,2022-03-22,India,Mobile,Yes,Business
U00081,2023-07-16,Canada,Mobile,Yes,Personal
U00082,2024-05-21,USA,Mobile,Yes,Personal
U00083,2023-01-23,Canada,Mobile,Yes,Personal
U00084,2022-01-02,Germany,Mobile,No,Business
U00085,2023-01-25,UK,Mobile,Yes,Personal
U00086,2023-07-20,Germany,Mobile,No,Business
U00087,2022-04-16,Canada,Mobile,Yes,Personal
U00088,2024-02-11,Canada,Mobile,No,Personal
U00089,2024-04-01,Australia,Desktop,Yes,Personal
U00090,2023-04-22,Germany,Mobile,Yes,Personal
U00091,2023-12-04,Germany,Desktop,Yes,Personal
U00092,2023-02-06,Germany,Mobile,Yes,Personal
U00093,2023-12-31,USA,Desktop,Yes,Personal
U00094,2023-07-10,Canada,Desktop,Yes,Business
U00095,2022-06-11,India,Desktop,Yes,Personal
U00096,2022-07-21,USA,Desktop,Yes,Personal
U00097,2022-09-27,USA,Mobile,Yes,Personal
U00098,2024-05-12,USA,Mobile,Yes,Personal
U00099,2024-03-26,Australia,Mobile,Yes,Personal
U00100,2022-09-28,India,Mobile,Yes,Business
U00101,2023-04-01,Germany,Desktop,Yes,Personal
U00102,2023-04-07,Australia,Mobile,Yes,Personal
U00103,2023-12-28,Canada,Desktop,Yes,Business
U00104,2022-09-09,UK,Mobile,Yes,Personal
U00105,2023-12-03,Australia,Mobile,Yes,Personal
U00106,2022-10-23,UK,Desktop,Yes,Business
U00107,2023-12-26,Canada,Mobile,Yes,Personal
U00108,2023-12-21,India,Mobile,Yes,Personal
U00109,2024-01-19,UK,Mobile,Yes,Personal
U00110,2022-12-04,USA,Desktop,Yes,Personal
U00111,2024-05-28,Australia,Desktop,No,Personal
U00112,2022-02-22,UK,Desktop,No,Personal
U00113,2024-03-02,Canada,Mobile,Yes,Personal
U00114,2022-08-05,USA,Mobile,Yes,Personal
U00115,2024-02-03,UK,Mobile,Yes,Personal
U00116,2022-07-07,Canada,Mobile,Yes,Personal
U00117,2023-01-15,India,Mobile,Yes,Personal
U00118,2023-05-08,Canada,Mobile,Yes,Personal
U00119,2022-02-10,India,Mobile,Yes,Personal
U00120,2022-06-06,USA,Mobile,Yes,Personal
U00121,2022-01-15,Canada,Mobile,Yes,Personal
U00122,2024-03-23,Germany,Mobile,Yes,Personal
U00123,2022-03-06,Australia,Mobile,Yes,Business
U00124,2024-05-06,Germany,Mobile,Yes,Personal
U00125,2024-04-18,Germany,Mobile,Yes,Personal
U00126,2023-06-05,Germany,Desktop,Yes,Personal
U00127,2022-12-10,Australia,Mobile,Yes,Personal
U00128,2022-05-09,Germany,Desktop,No,Personal
U00129,2023-10-10,India,Mobile,Yes,Personal
U00130,2023-04-17,Canada,Mobile,Yes,Business
U00131,2022-03-04,USA,Mobile,No,Personal
U00132,2022-05-19,Germany,Mobile,Yes,Personal
U00133,2023-05-14,Germany,Mobile,Yes,Personal
U00134,2023-08-16,USA,Mobile,Yes,Personal
U00135,2023-01-27,USA,Desktop,Yes,Personal
U00136,2023-11-06,Germany,Mobile,Yes,Personal
U00137,2023-02-23,India,Mobile,Yes,Personal
U00138,2022-10-16,USA,Mobile,Yes,Personal
U00139,2023-01-14,Canada,Mobile,Yes,Personal
U00140,2024-02-12,Canada,Desktop,Yes,Personal
U00141,2023-05-05,India,Mobile,No,Personal
U00142,2022-08-19,Australia,Mobile,No,Business
U00143,2022-02-10,UK,Mobile,Yes,Personal
U00144,2022-01-28,India,Mobile,Yes,Personal
U00145,2022-05-15,Germany,Mobile,No,Personal
U00146,2022-07-20,UK,Mobile,Yes,Business
U00147,2024-04-19,Germany,Desktop,Yes,Personal
U00148,2024-02-19,Canada,Mobile,Yes,Personal
U00149,2022-02-02,USA,Mobile,Yes,Personal
U00150,2022-02-17,Germany,Desktop,Yes,Personal
U00151,2023-05-18,Canada,Mobile,Yes,Personal
U00152,2023-02-11,India,Mobile,Yes,Personal
U00153,2023-07-28,Germany,Desktop,Yes,Personal
U00154,2023-12-29,Canada,Mobile,No,Personal
U00155,2024-03-15,USA,Mobile,Yes,Personal
U00156,2022-04-09,Germany,Mobile,Yes,Personal
U00157,2023-11-15,Australia,Desktop,Yes,Personal
U00158,2024-05-21,Canada,Mobile,Yes,Personal
U00159,2023-12-27,Germany,Desktop,Yes,Business
U00160,2023-07-01,USA,Mobile,Yes,Personal
U00161,2024-01-09,Germany,Mobile,Yes,Personal
U00162,2023-09-05,Germany,Mobile,Yes,Business
U00163,2023-04-07,Australia,Mobile,Yes,Business
U00164,2023-10-05,Canada,Desktop,No,Personal
U00165,2024-02-08,UK,Desktop,Yes,Personal
U00166,2022-01-05,Germany,Mobile,Yes,Personal
U00167,2022-08-06,UK,Mobile,Yes,Personal
U00168,2023-05-18,India,Mobile,Yes,Personal
U00169,2024-02-06,Germany,Mobile,No,Personal
U00170,2023-02-02,UK,Mobile,No,Personal
U00171,2024-05-20,India,Desktop,Yes,Personal
U00172,2024-03-05,Australia,Mobile,No,Personal
U00173,2023-01-28,Canada,Mobile,Yes,Personal
U00174,2022-07-26,Germany,Desktop,Yes,Personal
U00175,2022-01-15,Canada,Mobile,Yes,Personal
U00176,2024-05-07,India,Desktop,Yes,Personal
U00177,2023-07-08,Canada,Desktop,Yes,Personal
U00178,2024-06-10,Canada,Mobile,No,Personal
U00179,2023-04-06,USA,Mobile,Yes,Personal
U00180,2023-11-22,India,Mobile,Yes,Personal
U00181,2023-07-29,Canada,Desktop,No,Personal
U00182,2024-05-13,UK,Mobile,Yes,Personal
U00183,2024-01-13,India,Desktop,No,Personal
U00184,2022-08-29,USA,Mobile,Yes,Personal
U00185,2023-07-18,Germany,Mobile,Yes,Business
U00186,2022-04-06,Australia,Desktop,No,Personal
U00187,2024-06-18,Canada,Mobile,No,Personal
U00188,2024-01-04,UK,Desktop,Yes,Personal
U00189,2023-04-30,USA,Mobile,Yes,Business
U00190,2023-02-11,India,Mobile,Yes,Personal
U00191,2022-08-19,Australia,Mobile,Yes,Personal
U00192,2024-01-19,Australia,Desktop,Yes,Personal
U00193,2023-10-17,Canada,Desktop,Yes,Personal
U00194,2022-06-20,USA,Desktop,Yes,Personal
U00195,2023-06-25,USA,Mobile,No,Personal
U00196,2022-02-05,UK,Mobile,No,Business
